agent,time,x,y,z,original_x,original_y,original_z,distance,threshold,applied_force
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-9.0,0.0
1,0.0,0.0,19.0,0.0,0.0,19.0,0.0,19.0,-9.0,0.0
2,0.0,10.0,10.0,0.0,10.0,10.0,0.0,14.142135623730951,-6.5710678118654755,0.0
3,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,-9.0,0.0
0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,19.0,-9.0,0.0
1,0.2,0.2,19.0,0.0,0.2,19.0,0.0,19.0,-9.0,0.0
2,0.2,10.0,10.0,0.2,10.0,10.0,0.2,14.002856851371437,-6.501428425685718,0.0
3,0.2,18.8,0.0,0.0,18.8,0.0,0.0,18.6,-8.8,0.0
0,0.4,0.4,0.0,0.0,0.4,0.0,0.0,19.0,-9.0,0.0
1,0.4,0.4,19.0,0.0,0.4,19.0,0.0,19.0,-9.0,0.0
2,0.4,10.0,10.0,0.4,10.0,10.0,0.4,13.867948658687773,-6.4339743293438865,0.0
3,0.4,18.6,0.0,0.0,18.6,0.0,0.0,18.200000000000003,-8.600000000000001,0.0
0,0.6,0.6,0.0,0.0,0.6,0.0,0.0,19.0,-9.0,0.0
1,0.6,0.6,19.0,0.0,0.6,19.0,0.0,19.0,-9.0,0.0
2,0.6,10.0,10.0,0.6,10.0,10.0,0.6,13.73753980885952,-6.36876990442976,0.0
3,0.6,18.4,0.0,0.0,18.4,0.0,0.0,17.799999999999997,-8.399999999999999,0.0
0,0.8,0.8,0.0,0.0,0.8,0.0,0.0,19.0,-9.0,0.0
1,0.8,0.8,19.0,0.0,0.8,19.0,0.0,19.0,-9.0,0.0
2,0.8,10.0,10.0,0.8,10.0,10.0,0.8,13.611759621738843,-6.305879810869421,0.0
3,0.8,18.2,0.0,0.0,18.2,0.0,0.0,17.4,-8.2,0.0
0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,-9.0,0.0
1,1.0,1.0,19.0,0.0,1.0,19.0,0.0,19.0,-9.0,0.0
2,1.0,10.0,10.0,1.0,10.0,10.0,1.0,13.490737563232042,-6.245368781616021,0.0
3,1.0,18.0,0.0,0.0,18.0,0.0,0.0,17.0,-8.0,0.0
0,1.2,1.2,0.0,0.0,1.2,0.0,0.0,19.0,-9.0,0.0
