agent,time,x,y,z,collision_risk,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
1,0.0,90.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2,0.0,50.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0
3,0.0,20.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0
4,0.0,10.0,30.0,70.0,0.0,0.0,0.0,0.0,0.0
5,0.0,30.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0
6,0.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0
7,0.0,85.0,57.0,7.0,0.0,0.0,0.0,0.0,0.0
8,0.0,67.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0
9,0.0,33.0,11.0,43.0,0.0,0.0,0.0,0.0,0.0
0,0.2,10.085417190931796,10.057291404534102,10.057291404534102,0.0,0.027315050720192628,0.0,0.027315050720192628,0.008194515216058658
1,0.2,89.91458280906821,10.0572914045341,10.0572914045341,0.0,0.02731505072019506,0.0,0.02731505072019506,0.008194515216061559
2,0.2,50.0,20.2,50.0,0.0,0.0,0.0,0.0,0.0
3,0.2,20.114062893198852,50.0,20.08593710680115,0.0,0.023655527829350407,0.0,0.023655527829350407,0.00709665834880367
4,0.2,10.142708595465898,30.0572914045341,69.9427085954659,0.0,0.019314657592705998,0.0,0.019314657592705998,0.005794397277813474
5,0.2,30.060863731845757,10.065475890896113,40.01636897272403,0.0,0.030099719895938307,0.0,0.030099719895938307,0.009029915968780168
6,0.2,40.03767435382005,40.00954856742235,10.038194269689402,0.0,0.03251141329005064,0.0,0.03251141329005064,0.009753423987015014
7,0.2,84.88387461623792,56.945000251647265,7.065999698023285,0.0,0.023369937547193506,0.0,0.023369937547193506,0.007010981264156535
8,0.2,66.95474700508451,1.0513816255533568,66.99678864840291,0.0,0.03174339732116097,0.0,0.03174339732116097,0.00952301919634844
9,0.2,33.0869062972056,11.081117104914902,42.9917707284869,0.0,0.02713697849651265,0.0,0.02713697849651265,0.008141093548952935
0,0.4,10.16861637041976,10.11569181479012,10.11569181479012,0.0,0.05281474421526174,0.0,0.05281474421526174,0.01584442326457883
1,0.4,89.83138362958023,10.11569181479012,10.11569181479012,0.0,0.05281474421525951,0.0,0.05281474421525951,0.01584442326457448
2,0.4,50.0,20.4,50.0,0.0,0.0,0.0,0.0,0.0
