agent,time,x,y,z
0,0,10.0,10.0,10.0
1,0,90.0,10.0,10.0
2,0,50.0,20.0,50.0
3,0,20.0,50.0,20.0
4,0,10.0,30.0,70.0
5,0,30.0,10.0,40.0
6,0,40.0,40.0,10.0
7,0,85.0,57.0,7.0
8,0,67.0,1.0,67.0
9,0,33.0,11.0,43.0
0,1,11.0,10.0,10.0
1,1,89.0,10.0,10.0
2,1,50.0,21.0,50.0
3,1,21.0,50.0,20.0
4,1,11.0,30.0,70.0
5,1,31.0,10.0,40.0
6,1,41.0,40.0,10.0
7,1,84.0,57.0,7.0
8,1,66.0,1.0,67.0
9,1,34.0,11.0,43.0
0,2,12.0,10.0,10.0
1,2,88.0,10.0,10.0
2,2,50.0,22.0,50.0
3,2,22.0,50.0,20.0
4,2,12.0,30.0,70.0
5,2,32.0,10.0,40.0
6,2,42.0,40.0,10.0
7,2,83.0,57.0,7.0
8,2,65.0,1.0,67.0
9,2,35.0,11.0,43.0
0,3,13.0,10.0,10.0
1,3,87.0,10.0,10.0
2,3,50.0,23.0,50.0
3,3,23.0,50.0,20.0
4,3,13.0,30.0,70.0
5,3,33.0,10.0,40.0
6,3,43.0,40.0,10.0
7,3,82.0,57.0,7.0
8,3,64.0,1.0,67.0
9,3,36.0,11.0,43.0
0,4,14.0,10.0,10.0
1,4,86.0,10.0,10.0
2,4,50.0,24.0,50.0
3,4,24.0,50.0,20.0
4,4,14.0,30.0,70.0
5,4,34.0,10.0,40.0
6,4,44.0,40.0,10.0
7,4,81.0,57.0,7.0
8,4,63.0,1.0,67.0
9,4,37.0,11.0,43.0
0,5,15.0,10.0,10.0
1,5,85.0,10.0,10.0
2,5,50.0,25.0,50.0
3,5,25.0,50.0,20.0
4,5,15.0,30.0,70.0
5,5,35.0,10.0,40.0
6,5,45.0,40.0,10.0
7,5,80.0,57.0,7.0
8,5,62.0,1.0,67.0
9,5,38.0,11.0,43.0
0,6,16.0,10.0,10.0
1,6,84.0,10.0,10.0
2,6,50.0,26.0,50.0
3,6,26.0,50.0,20.0
4,6,16.0,30.0,70.0
5,6,36.0,10.0,40.0
6,6,46.0,40.0,10.0
7,6,79.0,57.0,7.0
8,6,61.0,1.0,67.0
9,6,39.0,11.0,43.0
0,7,17.0,10.0,10.0
1,7,83.0,10.0,10.0
2,7,50.0,27.0,50.0
3,7,27.0,50.0,20.0
4,7,17.0,30.0,70.0
5,7,37.0,10.0,40.0
6,7,47.0,40.0,10.0
7,7,78.0,57.0,7.0
8,7,60.0,1.0,67.0
9,7,40.0,11.0,43.0
0,8,18.0,10.0,10.0
1,8,82.0,10.0,10.0
2,8,50.0,28.0,50.0
3,8,28.0,50.0,20.0
4,8,18.0,30.0,70.0
5,8,38.0,10.0,40.0
6,8,48.0,40.0,10.0
7,8,77.0,57.0,7.0
8,8,59.0,1.0,67.0
9,8,41.0,11.0,43.0
0,9,19.0,10.0,10.0
1,9,81.0,10.0,10.0
2,9,50.0,29.0,50.0
3,9,29.0,50.0,20.0
4,9,19.0,30.0,70.0
5,9,39.0,10.0,40.0
6,9,49.0,40.0,10.0
7,9,76.0,57.0,7.0
8,9,58.0,1.0,67.0
9,9,42.0,11.0,43.0
0,10,20.0,10.0,10.0
1,10,80.0,10.0,10.0
2,10,50.0,30.0,50.0
3,10,30.0,50.0,20.0
4,10,20.0,30.0,70.0
5,10,40.0,10.0,40.0
6,10,50.0,40.0,10.0
7,10,75.0,57.0,7.0
8,10,57.0,1.0,67.0
9,10,43.0,11.0,43.0
0,11,21.0,10.0,10.0
1,11,79.0,10.0,10.0
2,11,50.0,31.0,50.0
3,11,31.0,50.0,20.0
4,11,21.0,30.0,70.0
5,11,41.0,10.0,40.0
6,11,51.0,40.0,10.0
7,11,74.0,57.0,7.0
8,11,56.0,1.0,67.0
9,11,44.0,11.0,43.0
0,12,22.0,10.0,10.0
1,12,78.0,10.0,10.0
2,12,50.0,32.0,50.0
3,12,32.0,50.0,20.0
4,12,22.0,30.0,70.0
5,12,42.0,10.0,40.0
6,12,52.0,40.0,10.0
7,12,73.0,57.0,7.0
8,12,55.0,1.0,67.0
9,12,45.0,11.0,43.0
0,13,23.0,10.0,10.0
1,13,77.0,10.0,10.0
2,13,50.0,33.0,50.0
3,13,33.0,50.0,20.0
4,13,23.0,30.0,70.0
5,13,43.0,10.0,40.0
6,13,53.0,40.0,10.0
