agent,time,x,y,z
0,0,0,0,0
1,0,0,19,0
2,0,10,10,0
3,0,19,0,0
0,1,1,0,0
1,1,1,19,0
2,1,10,10,1
3,1,18,0,0
0,2,2,0,0
1,2,2,19,0
2,2,10,10,2
3,2,17,0,0
0,3,3,0,0
1,3,3,19,0
2,3,10,10,3
3,3,16,0,0
0,4,4,0,0
1,4,4,19,0
2,4,10,10,4
3,4,15,0,0
0,5,5,0,0
1,5,5,19,0
2,5,10,10,5
3,5,14,0,0
0,6,6,0,0
1,6,6,19,0
2,6,10,10,6
3,6,13,0,0
0,7,7,0,0
1,7,7,19,0
2,7,10,10,7
3,7,12,0,0
0,8,8,0,0
1,8,8,19,0
2,8,10,10,8
3,8,11,0,0
0,9,9,0,0
1,9,9,19,0
2,9,10,10,9
3,9,10,0,0
0,10,9,1,0
1,10,10,19,0
2,10,10,10,10
3,10,9,0,0
0,11,10,1,0
1,11,11,19,0
2,11,10,10,11
3,11,8,0,0
0,12,11,1,0
1,12,12,19,0
2,12,10,10,12
3,12,7,0,0
0,13,12,1,0
1,13,13,19,0
2,13,10,10,13
3,13,6,0,0
0,14,13,1,0
1,14,14,19,0
2,14,10,10,14
3,14,5,0,0
0,15,14,1,0
1,15,15,19,0
2,15,10,10,15
3,15,4,0,0
0,16,15,1,0
1,16,16,19,0
2,16,10,10,16
3,16,3,0,0
0,17,16,1,0
1,17,17,19,0
2,17,10,10,17
3,17,2,0,0
0,18,17,1,0
1,18,18,19,0
2,18,10,10,18
3,18,1,0,0
0,19,18,1,0
1,19,19,19,0
2,19,10,10,19
3,19,0,0,0
0,20,19,1,0
1,20,19,18,0
2,20,10,10,19
3,20,0,1,0
0,21,19,2,0
1,21,19,17,0
2,21,10,10,19
3,21,0,2,0
0,22,19,3,0
1,22,19,16,0
2,22,10,10,19
3,22,0,3,0
0,23,19,4,0
1,23,19,15,0
2,23,10,10,19
3,23,0,4,0
0,24,19,5,0
1,24,19,14,0
2,24,10,10,19
3,24,0,5,0
0,25,19,6,0
1,25,19,13,0
2,25,10,10,19
3,25,0,6,0
0,26,19,7,0
1,26,19,12,0
2,26,10,10,19
3,26,0,7,0
0,27,19,8,0
1,27,19,11,0
2,27,10,10,19
3,27,0,8,0
0,28,19,9,0
1,28,19,10,0
2,28,10,10,19
3,28,0,9,0
0,29,19,9,1
1,29,19,9,0
2,29,10,10,19
3,29,0,10,0
0,30,19,10,1
1,30,19,8,0
2,30,10,10,19
3,30,0,11,0
0,31,19,11,1
1,31,19,7,0
2,31,10,10,19
3,31,0,12,0
0,32,19,12,1
1,32,19,6,0
2,32,10,10,19
3,32,0,13,0
0,33,19,13,1
1,33,19,5,0
2,33,10,10,19
3,33,0,14,0
0,34,19,14,1
1,34,19,4,0
2,34,10,10,19
3,34,0,15,0
0,35,19,15,1
1,35,19,3,0
2,35,10,10,19
3,35,0,16,0
0,36,19,16,1
1,36,19,2,0
2,36,10,10,19
3,36,0,17,0
0,37,19,17,1
1,37,19,1,0
2,37,10,10,19
3,37,0,18,0
0,38,19,18,1
1,38,19,0,0
2,38,10,10,19
3,38,0,19,0
0,39,19,19,1
1,39,19,0,1
2,39,10,10,19
3,39,0,19,1
0,40,19,19,2
1,40,19,0,2
2,40,10,10,19
3,40,0,19,2
0,41,19,19,3
1,41,19,0,3
2,41,10,10,19
3,41,0,19,3
0,42,19,19,4
1,42,19,0,4
2,42,10,10,19
3,42,0,19,4
0,43,19,19,5
1,43,19,0,5
2,43,10,10,19
3,43,0,19,5
0,44,19,19,6
1,44,19,0,6
2,44,10,10,19
3,44,0,19,6
0,45,19,19,7
1,45,19,0,7
2,45,10,10,19
3,45,0,19,7
0,46,19,19,8
1,46,19,0,8
2,46,10,10,19
3,46,0,19,8
0,47,19,19,9
1,47,19,0,9
2,47,10,10,19
3,47,0,19,9
0,48,19,19,10
1,48,19,0,10
2,48,10,10,19
3,48,0,19,10
0,49,19,19,11
1,49,19,0,11
2,49,10,10,19
3,49,0,19,11
0,50,19,19,12
1,50,19,0,12
2,50,10,10,19
3,50,0,19,12
0,51,19,19,13
1,51,19,0,13
2,51,10,10,19
3,51,0,19,13
0,52,19,19,14
1,52,19,0,14
2,52,10,10,19
3,52,0,19,14
0,53,19,19,15
1,53,19,0,15
2,53,10,10,19
3,53,0,19,15
0,54,19,19,16
1,54,19,0,16
2,54,10,10,19
3,54,0,19,16
0,55,19,19,17
1,55,19,0,17
2,55,10,10,19
3,55,0,19,17
0,56,19,19,18
1,56,19,0,18
2,56,10,10,19
3,56,0,19,18
0,57,19,19,19
1,57,19,0,19
2,57,10,10,19
3,57,0,19,19
