agent,time,x,y,z
0,0,0,0,0
1,0,9,0,0
0,1,1,0,0
1,1,8,0,0
0,2,2,0,0
1,2,8,1,0
0,3,3,0,0
1,3,8,2,0
0,4,4,0,0
1,4,8,2,1
0,5,5,0,0
1,5,7,2,1
0,6,5,1,0
1,6,6,2,1
0,7,6,1,0
1,7,5,2,1
0,8,7,1,0
1,8,5,3,1
0,9,7,2,0
1,9,4,3,1
0,10,7,3,0
1,10,3,3,1
0,11,7,4,0
1,11,3,3,2
0,12,7,4,1
1,12,3,4,2
0,13,7,4,2
1,13,2,4,2
0,14,8,4,2
1,14,2,5,2
0,15,8,5,2
1,15,1,5,2
0,16,9,5,2
1,16,1,5,3
0,17,9,6,2
1,17,1,6,3
0,18,9,6,3
1,18,1,6,4
0,19,9,7,3
1,19,0,6,4
0,20,9,8,3
1,20,0,6,5
0,21,9,8,4
1,21,0,6,6
0,22,9,8,5
1,22,0,6,7
0,23,9,8,6
1,23,0,6,8
0,24,9,8,7
1,24,0,6,9
0,25,9,9,7
1,25,0,7,9
0,26,9,9,8
1,26,0,8,9
0,27,9,9,9
1,27,0,9,9
