map_file=/home/kty/ros2_ws/src/mapf_visualizer_3d/scripts/arena_3d.map3d
agents=100
10 10 10  90 90 90
90 10 10  10 90 90
50 20 50  50 80 50
20 50 20  80 50 80
10 30 70  90 70 30
30 10 40  70 90 60
40 40 10  60 60 90
32 32 48  81 84 62
96 29 93  28 69 90
12 43 11  51 92 35
92 50 56  41 86 97
8 10 43  43 57 48
41 39 94  74 27 53
86 80 62  6 67 3
0 2 34  98 22 79
54 47 3  0 14 72
37 41 29  79 63 69
84 86 5  27 41 81
5 86 26  84 39 50
70 89 98  38 88 59
98 97 96  27 14 39
15 42 15  39 35 22
59 44 22  46 79 43
56 60 86  37 21 57
67 52 62  17 11 33
94 50 26  81 41 14
8 35 0  97 27 3
18 78 4  95 16 46
25 9 94  20 12 86
90 43 72  69 21 64
27 57 2  10 13 99
93 62 68  64 38 84
75 95 79  27 61 15
6 11 4  4 93 98
20 55 12  5 24 43
36 37 16  4 69 16
23 47 57  57 13 69
33 41 56  12 76 53
27 32 71  51 60 82
84 98 15  3 48 14
24 45 90  76 45 94
46 52 68  15 81 97
85 57 92  72 24 35
31 10 71  64 44 84
4 17 26  41 33 24
55 8 77  82 29 1
88 72 26  57 61 16
77 53 89  21 13 52
8 45 87  79 14 86
0 29 30  22 17 80
84 14 3  3 54 15
99 97 37  18 98 92
91 77 75  5 75 12
38 41 80  67 81 70
20 63 91  73 51 84
50 39 33  20 12 19
85 77 35  39 44 89
17 11 4  94 23 43
16 75 82  36 46 37
10 76 53  71 46 43
10 2 49  63 86 30
69 82 95  86 47 59
73 27 3  21 35 5
56 88 73  78 5 32
12 96 82  2 16 49
74 53 12  10 11 16
96 49 31  21 13 63
98 77 84  8 3 14
80 29 86  88 2 10
92 85 71  69 66 42
1 5 47  62 50 85
70 64 70  97 81 76
47 94 72  58 59 16
45 50 86  51 19 6
4 27 9  27 40 61
32 57 67  22 98 26
70 93 96  74 51 25
46 9 2  82 64 62
83 7 86  78 62 12
54 2 53  20 90 75
55 6 83  18 38 10
97 0 29  51 22 70
88 7 59  96 61 78
38 94 90  97 37 23
29 21 66  97 11 90
71 9 74  75 87 59
84 14 32  25 0 74
58 42 92  9 57 91
41 77 40  24 24 75
21 50 30  97 64 55
80 19 50  22 2 16
87 85 72  72 17 88
91 74 57  97 28 21
65 1 64  93 80 51
16 90 95  13 72 33
56 2 2  47 39 90
92 31 69  68 70 19
12 88 62  82 76 0
65 87 13  67 18 41
18 71 83  73 53 64
